REGION,PROVINCE,ADDRESS,NAME OF FACILITY,"OWNERSHIP (DOH Retained, LGU, GOVERNMENT & PRIVATE)",CLASSIFICATION (Hospital-based / non-hospital based) ,TESTING PROCEDURE,Brand,"Date of Submission of Application & Self-Assessment Tool
(start date)
",STAGE,"REMARKS
",LTO VALIDITY,LICENSED NUMBER,With POOLED testing certificate,HEAD OF LABORATORY,EMAIL ADDRESS,CONTACT NUMBER,INSPECTORS / ASSESORS,,,,,,,,,,,,,
NCR,Metro Manila,Pasig City,New World Diagnostics Inc. Premium Medical Branch,PRIVATE,Non-Hospital Based,rRT PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,13-0021-2021-CT-2,,Dr. Daphne Ang,daphnechuaang@yahoo.com,8942-9849 / 8942-9719,"Dr. Bonagua, Engr. Retirva, Ms. Padua, Ms. Foronda, Engr. Tolentino & Ms. Reyes",,,,,,,,,,,,,
NCR,Metro Manila,Pasig City,New World Diagnostics Inc. Premium Medical Branch,PRIVATE,Non-Hospital Based,Cartridge-based PCR,Iponatics,,5,NEW,03/25/21 - 12/31/21,13-0021-2021-CT-2,,Dr. Daphne Ang,daphnechuaang@yahoo.com,8942-9849 / 8942-9719,,,,,,,,,,,,,,
NCR,Metro Manila,City of Manila,"Olayn Medical Laboratory, Inc",PRIVATE,Hospital Based,rRT PCR,,,5,NEW,01/13/21 - 12/31/21,13-0014-2021-CT-2,,Dr. Susan Quiaoit,medisensemanila@gmail.com,,"Engr. Retirva, Mr. Dela Cruz, Ms. Bato, Ms. Casagan & Engr. Reyes",,,,,,,,,,,,,
NCR,Metro Manila,City of Manila,"Olayn Medical Laboratory, Inc",PRIVATE,Hospital Based,Cartridge-based PCR,Easynat,,5,NEW,03/10/21 - 12/31/21,13-0014-2021-CT-2,,Dr. Susan Quiaoit,medisensemanila@gmail.com,,"Dr. Hautea, Ms. Toledo & Mr. Malbacias",,,,,,,,,,,,,
NCR,Metro Manila,Muntinlupa City,Ospital ng Muntinlupa,LGU,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0201-21-H3-1,,Marisa Manuel,,639173938556,"Dr. Bonagua, Mr. Favis, Ms. Sy, Mr. Medina & Engr. Nolan",,,,,,,,,,,,,
NCR,Metro Manila,Paranaque City,Ospital ng Paranaque District II,LGU,Non-Hospital Based,rRT PCR,,,5,NEW,02/08/21 - 12/31/21,13-0011-2021-CT-1,,Dr. Ferdinand Galang,,639229003755,"Dr. Hautea, Ar. Leonado, Ms. Casagan, Ms. Bato, Engr. Reyes",,,,,,,,,,,,,
NCR,Metro Manila,Pasig City,Pasig City Children's Hospital - Child's Hope,LGU,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0043-2021-CT-1,,,sarahdataylim@gmail.com,(02) 8643 2222,,,,,,,,,,,,,,
NCR,Metro Manila,Makati City,PCR MED Molecular Laboratory,PRIVATE,Non-Hospital Based,rRT PCR,,,5,NEW,01/11/21 - 12/31/21,13-0003-2021-CT-2,,,pcrmed@benchmail.ph,,"Engr. Lui, Ms. Fermo, Ms. Casagan, Ms. Bato & Engr. Archie",,,,,,,,,,,,,
NCR,Metro Manila,City of Manila,Philipine Medical Diagnostic & Laboratory Center Corporation,PRIVATE,Non-Hospital Based,rRT PCR,,,5,NEW,03/17/21 - 12/31/21,13-0016-2021-CT-2,,Dr. Herbert Manaois,philmed.dlcc@gmai.com,639176238145,"Dr. Hautea, Ar. Leonado & Ms. Bato",,,,,,,,,,,,,
NCR,Metro Manila,Pasay City,Philippine Airport Diagnostic Laboratory,PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/07/21 - 12/31/21,13-0009-2021-CT-2,"March 25, 2021",Dr. Daphne Ang,padlabdocs@gmail.com,639668979509,,,,,,,,,,,,,,
NCR,Metro Manila,City of Manila,Philippine General Hospital,GOVERNMENT,Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,13-0164-21-H3-1,,,,(02) 8554 8400 loc. 3200/3201,,,,,,,,,,,,,,
NCR,Metro Manila,Quezon City,Philippine Genome Center UP-Diliman (NHB),GOVERNMENT,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0053-2021-CT-2,,Dr. Ayes,,63939 908 2296,,,,,,,,,,,,,,
NCR,Metro Manila,Quezon City,Philippine Heart Center,DOH Retained,Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,13-0154-21-H3-1,,,gsmanzo@phc.gov.ph / dlm@phc.gov.ph,(02) 8925 2401,,,,,,,,,,,,,,
NCR,Metro Manila,"National Headquarters, EDSA, Camp Crame, Quezon City, 1111 Metro Manila",Philippine National Police Crime Laboratory,GOVERNMENT,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0069-2021-CT-2,,,lorna.santos.pnp@gmail.com,(02) 3414 3334,Dr. Leviste,,,,,,,,,,,,,
NCR,Metro Manila,Mandaluyong City,Philippine Red Cross - National Blood Center,PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0011-2021-CT-2,,,nbs@redcross.org.ph,(02) 8790-2300 local 931/932/935,,,,,,,,,,,,,,
NCR,Metro Manila,City of Manila,Philippine Red Cross - Port Area,PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,,,,christiemonina.nalupta@redcross.org.ph,(02) 8527-0861,,,,,,,,,,,,,,
NCR,Metro Manila,Quezon City,PNP General Hospital,GOVERNMENT,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0236-21-H2-1,,,jun_evangelistamd@yahoo.com,(02) 723-0401,,,,,,,,,,,,,,
NCR,Metro Manila,Mandaluyong City,PRC - PRC Logistics and Multipurpose Center,PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0015-2021-CT-2,,,,(02) 8790-2300,,,,,,,,,,,,,,
NCR,Metro Manila,City of Manila,PSG Station Hospital Molecular Laboratory,GOVERNMENT,Non-Hospital Based,rRT PCR,,,5,NEW,03/17/21 - 12/31/21,13-0015-2021-CT-2,,,psgshmolecularlaboratory@gmail.com,,,,,,,,,,,,,,,
NCR,Metro Manila,Las Pinas City,QR Medical Laboratories Inc. (VitaCare),PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0018-2021-CT-2,,,,0917-8411496,,,,,,,,,,,,,,
NCR,Metro Manila,Quezon City,Quezon City Molecular Diagnostics Laboratory,LGU,Non-Hospital Based,rRT pCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0028-2021-CT-2,,,"philipbalisan_md@yahoo.com/lucille.chua@
quezoncity.gov.ph/esperanza.arias@quezonci
ty.gov.ph/faye.chongko@gmail.com",9150412539,,,,,,,,,,,,,,
NCR,Metro Manila,"J.P. Rizal, Project 4, Lungsod Quezon, 1109 Kalakhang Maynila",Quirino Memorial Medical Center,DOH Retained,Hospital Based,rRT PCR,,,5,NEW,04/24/21 - 12/31/21,,,,qmmcmolecular@gmail.com,,"Dr. Bonagua, Mr. Dela Cruz, Engr. Retirva",,,,,,,,,,,,,
NCR,Metro Manila,"Filinvest Marketing & Exhibit Office, 9002 Research Dr, Alabang, Muntinlupa, 1781 Metro Manila","Research Institute for Tropical Medicine, Inc. (RITM)",DOH Retained,Hospital Based,rRT PCR,,SNL,5,RENEWED,01/01/21 - 12/31/21,13-0225-21-H3-1,,,info@ritm.gov.ph,(02) 8807-2631; (02) 8807-2632; (02) 8807-2637),,,,,,,,,,,,,,
NCR,Metro Manila,"Pasig Blvd, Pasig, 1600 Metro Manila",Rizal Medical Center,DOH Retained,Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,13-0089-21-H3-1,,,rizalmedicalcenter@gmail.com,(02) 8865 8400," Ms. Fermo, Engr. Lui, Ms. Padua, Ms. Foronda & Engr. Salanga",,,,,,,,,,,,,
NCR,Metro Manila,Mandaluyong City,"Safeguard DNA Diagnostics, Inc.",PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0001-2021-CT-2,,,jmagallanes@ssdiph.com darriola@sddiph.com,(02) 296 7595,,,,,,,,,,,,,,
NCR,Metro Manila,"Quiricada St, Santa Cruz, Manila, 1003 Metro Manila",San Lazaro Hospital (SLH),DOH Retained,Hospital Based,rRT PCR,,SNL,5,RENEWED,01/01/21 - 12/31/21,13-0022-2020-CT-2,,,slhlab.covid19@yahoo.com,(02) 8732 3777,,,,,,,,,,,,,,
NCR,Metro Manila,Mandaluyong City,San Miguel Foundation Testing Laboratory,PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,4A-0253-21-H2-2,,,desdayo@gmail.com,,"Engr. Retirva, Mr. Petines, Ms. Reyes, Ms. Foronda, Ms. Padua & Engr. Tolentitno",,,,,,,,,,,,,
NCR,Metro Manila,"4F Sterling Centre, 131 Dela Rosa St (corner of Ormaza St), Legazpi Village, Makati, 1229 Metro Manila","Singapore Diagnostic, Inc.",PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,4A-0023-2021-CT-2,,,evidente@singaporediagnostics.com,(02) 8845 0655,,,,,,,,,,,,,,
NCR,Metro Manila,Paranaque City,South Super Hi Way Molecular Diagnostic Lab,PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0058-2021-CT-2,,,info@ssmchealth.com,(02) 8823 5250,"Engr. Lui, Ms. Fermo, Ms. Padua, Ms. Foronda & Engr. Tolentino Jr.",,,,,,,,,,,,,
NCR,Metro Manila,"Rizal Drive cor. 32nd St. and, 5th Ave, Taguig, 132121 Metro Manila",St. Luke's Medical Center - BGC (HB),PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0043-21-H3-2,,,jprojales@stlukes.com.ph,8-789-7700,,,,,,,,,,,,,,
NCR,Metro Manila,"Rizal Drive cor. 32nd St. and, 5th Ave, Taguig, 132121 Metro Manila",St. Luke's Medical Center - BGC (HB),PRIVATE,Hospital Based,Cartridge-based PCR,BioFire,,5,RENEWED,01/01/21 - 12/31/21,13-0043-21-H3-2,,,jprojales@stlukes.com.ph,8-789-7700,,,,,,,,,,,,,,
NCR,Metro Manila,"279 E Rodriguez Sr. Ave, Quezon City, 1112 Metro Manila",St. Luke's Medical Center- QC,PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0194-21-H3-2,,,cathernandez@stlukes.com.ph,8-723-0101,,,,,,,,,,,,,,
NCR,Metro Manila,"279 E Rodriguez Sr. Ave, Quezon City, 1112 Metro Manila",St. Luke's Medical Center- QC,PRIVATE,Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,13-0194-21-H3-2,,,cathernandez@stlukes.com.ph,8-723-0101,"Ar. Leonado, Ms. Toledo, Ms. Lee, Mr. Medina & Engr. Vicente",,,,,,,,,,,,,
NCR,Metro Manila,2629 Ne Panaderos St. Sta. Ana Manila,Sta. Ana Hospital ,LGU,hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,13-0177-21-H2-2,,,staanahospital@manila.gov.ph,(02) 8516 6790,"Engr. Retirva, Mr. Dela Cruz, Ms. Bato, Ms. Casagan & Engr. Reyes",,,,,,,,,,,,,
NCR,Metro Manila,2629 Ne Panaderos St. Sta. Ana Manila,Sta. Ana Hospital ,LGU,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0177-21-H2-2,,,staanahospital@manila.gov.ph,(02) 8516 6790,,,,,,,,,,,,,,
NCR,Metro Manila,City of Manila,"Supercare Medical Services, Inc.",PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0051-2021-CT-2,,Dr. Gutay,laboratory.manila@supercare.com.ph,639285018078,,,,,,,,,,,,,,
NCR,Metro Manila,Taguig City,Taguig City Molecular Laboratory,LGU,Non-Hospital Based,rRT pCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0045-2021-CT-1,,,taguigcitymolecularlab@gmail.com,0920-629-6120 / 0917-316-4316/ 0917-879-6543,,,,,,,,,,,,,,
NCR,Metro Manila,Diosdado Macapagal Boulevard Pasay City,The Lord's Grace Medical and Industrial Clinic,PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0037-2021-CT-2,,,magraciamarkangel@gmail.com,0922-836-0870,,,,,,,,,,,,,,
NCR,Metro Manila,Pasig City,The Medical City - Ortigas,PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0058-21-H3-2,,,gbcortez@themedicalcity.com,0915-376-6093,,,,,,,,,,,,,,
NCR,Metro Manila,Pasig City,The Medical City - Ortigas,PRIVATE,Hospital Based,Cartridge-based PCR,GeneXpert,,5,NEW,02/19/21 - 12/31/21,13-0058-21-H3-2,,,gbcortez@themedicalcity.com,0915-376-6093,,,,,,,,,,,,,,
NCR,Metro Manila,Paranaque City,The Premier Molecular Diagnostics,PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0231-21-H2-2,,,tp.moleculardiagnostics@gmail.com,(02) 8865 2200,,,,,,,,,,,,,,
NCR,Metro Manila,"Honorio Lopez Blvd, Tondo, Manila",Tondo Medical Center,DOH Retained,Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,13-0176-21-H3-1,,Dr. Karina Michaela Tacujan,microlab@tondomedicalcenter.com,(02) 8865 9000,,,,,,,,,,,,,,
NCR,Metro Manila,"1 Amorsolo St. Cor 1230, Urban Ave, Makati",Tropical Disease Foundation,PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0013-2021-CT-2,,,aageronimo@tdf.org.ph,(02) 8894 0743,,,,,,,,,,,,,,
NCR,Metro Manila,"Alabang–Zapote Road, Las Pinas, 1740",University of Perpetual Help System Dalta,PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0095-21-H3-2,"December 21, 2020",,uphdmc_lab@yahoo.com,(02) 8874 8515,,,,,,,,,,,,,,
NCR,Metro Manila,Quezon City,University of the East Ramon Magsaysay Memorial Medical Center,PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0202-21-H3-2,,,jandyledesma@gmail.com,(02) 8715 0861,,,,,,,,,,,,,,
NCR,Metro Manila,"UP National Institutes Of Health 623, Pedro Gil St, Ermita, Manila, 1000",UP National Institutes of Health (UP NIH),GOVERNMENT,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0049-2021-CT-2,,,upm-nih@up.edu.ph,(02) 8526 4349,"Dr. Hautea, Engr. Lui, Ms. Fermo, Ms. Foronda, Ms. Padua & Engr. Nolan",,,,,,,,,,,,,
NCR,Metro Manila,"2nd floor, Laboratory Complex, Philippine General Hospital, Taft Avenue, Ermita, Manila 1000",UP-PGH-MRL ,GOVERNMENT,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0164-21-H3-1,,,mitchdiwa@yahoo.com,(02) 8554-8400 Loc 3232,,,,,,,,,,,,,,
NCR,Metro Manila,2nd Floor OPD Building Valenzuela City Emergency Hospital G Lazaro St. Dalandanan Valenzuela City,Valenzuela Hope Molecular Laboratory,LGU,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0047-2021-CT-1,,,valhopemolecularlab@gmail.com,0917-5056591,,,,,,,,,,,,,,
NCR,Metro Manila,"North Ave, Diliman, Quezon City, Metro Manila",Veteran Memorial Medical Center,GOVERNMENT,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0073-21-H3-1,,,mas_vmmc@yahoo.com,(02) 8927 6426,,,,,,,,,,,,,,
NCR,Metro Manila,Quezon City,Victoriano Luna Medical Center -AFRIMS - Collaborative Molecular Laboratory,GOVERNMENT,Hospital Based,Cartridge-based PCR,GeneXpert,,5,NEW,01/25/21 - 12/31/21,13-0235-21-H3-1,,,laboratory.vlmc@gmail.com,(02) 8246 2111,,,,,,,,,,,,,,
NCR,Metro Manila,Quezon City,Victoriano Luna Medical Center -AFRIMS - Collaborative Molecular Laboratory,GOVERNMENT,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0235-21-H3-1,,,laboratory.vlmc@gmail.com,(02) 8246 2111,,,,,,,,,,,,,,
NCR,Metro Manila,Quezon City,Metro North Medical Center and Hospital Inc.,PRIVATE,Hospital Based,rRT PCR,,"January 29, 2021",4,For Repeat PT,,,,Dr. Cruz,erickcruz0827@gmail.com,639178409972,"Dr. Bonagua, Engr. Lui, Ms. Casagan, Ms. Bato & Engr. Reyes",,,,,,,,,,,,,
NCR,Metro Manila,City of Manila,"Truhealth Diagnostics Center, Corp.",PRIVATE,Non-Hospital Based,rRT PCR,,"July 7, 2020",4,For Proficiency Testing,,,,,adminhead@truhealthcorp.com,,"Dr. Hautea, Ar. Leonado, Ms. Foronda, Ms. Padua & Engr. Tolentino",,,,,,,,,,,,,
NCR,Metro Manila,Valenzuela City,Allied Care Expert - Valenzuela,PRIVATE,Hospital Based,rRT PCR,,"March 8, 2021",3,FOR COMPLIANCE,,,,,,,,,,,,,,,,,,,,
NCR,Metro Manila,Quezon City,Best Diagnostic Corporation,PRIVATE,Non-Hospital Based,rRT PCR,,"March 29, 2021",3,FOR COMPLIANCE,,,,,,,,,,,,,,,,,,,,
NCR,Metro Manila,Quezon City,Capitol Medical Center Inc.,PRIVATE,Hospital Based,rRT PCR,,June 4,3,FOR COMPLIANCE,,,,,,,,,,,,,,,,,,,,
NCR,Metro Manila,San Juan City,Cardinal Santos Medical Center,PRIVATE,Hospital Based,Cartridge-based PCR,GeneXpert,2020,3,FOR COMPLIANCE,,,,,,,,,,,,,,,,,,,,
NCR,Metro Manila,San Juan City,Cardinal Santos Medical Center,PRIVATE,Hospital Based,Cartridge-based PCR,Biofire,"April 16, 2021",3,FOR COMPLIANCE,,,,Ms. Del Rosario,csmcmolelab@gmail.com,,"Ms. Fermo, Ar. Leonado, Mr. Olmedo, Ms. Padua & Ms. Bato",,,,,,,,,,,,,
NCR,Metro Manila,Quezon City (Amoranto),Hi-Precision,PRIVATE,Non-Hospital Based,Cartridge-based PCR,Roche Cobas Liat,"April 16, 2021",3,FOR COMPLIANCE,,,,Ms. Chua,esmeraldachua@hi-precision.com.ph,(02) 8863 9999,"Dr. Hautea, Ms. Toledo, Mr. Malbacias, Ms. Padua, Ms. Bato & Engr. Reyes",,,,,,,,,,,,,
NCR,Metro Manila,Marikina City,Marikina Valley Medical Center,PRIVATE,Hospital Based,rRT PCR,,"February 17, 2021",3,FOR COMPLIANCE,,,,,,,"Ms. Fermo, Ar. Leonado & Mr. Olmedo",,,,,,,,,,,,,
NCR,Metro Manila,City of Manila,"Medical Center Manila, Inc.",PRIVATE,Hospital Based,Cartridge-based PCR,Biofire,"March 26, 2021",3,FOR COMPLIANCE,,,,,,,,,,,,,,,,,,,,
NCR,Metro Manila,Paranaque City,"Medical Center of Paranaque, Inc.",PRIVATE,,Cartridge-based PCR,BDmax,"April 16, 2021",3,FOR COMPLIANCE,,,,Dr. Lenon,mcpimolec@gmail.com,,"Dr. Bonagua, Engr. Lui, Ms. Lentija, Ms. Litiatco, Ms. Bato & Engr. Reyes",,,,,,,,,,,,,
NCR,Metro Manila,Taguig City,"Medical Center of Taguig City, Inc.",PRIVATE,Hospital Based,rRT PCR,,"March 15, 2021",3,FOR COMPLIANCE,,,,Dr. Espiritu,akdrmt@gmail.com,(02) 8888 6284,,,,,,,,,,,,,,
NCR,Metro Manila,Paranaque City,"Medical Center Paranaque, Inc.",PRIVATE,Non-Hospital Based,rRT PCR,,"March 8, 2021",3,FOR COMPLIANCE,,,,Dr. Lenon,mcpimolec@gmail.com,,"Dr. Bonagua, Engr. Lui, Ms. Lentija, Ms. Litiatco & Ms. Banaag",,,,,,,,,,,,,
NCR,Metro Manila,Quezon City,National Childrens Hospital,GOVERNMENT,Hospital Based,Cartridge-based PCR,GeneXpert,"February 18, 2021",3,FOR COMPLIANCE,,,,,,,,,,,,,,,,,,,,
NCR,Metro Manila,Pasay City,Philippine Airport Diagnostic Laboratory,PRIVATE,Non-Hospital Based,Cartridge-based PCR,Iponatics,"January 26, 2021",3,FOR COMPLIANCE,,,,,,,"Dr. Bonagua, Engr. Lui, Ms Lentija, Ms. Litiatco & Ms. Banaag",,,,,,,,,,,,,
NCR,Metro Manila,Quezon City,"Philippine Tuberculosis Society Inc, - Quezon Institute",GOVERNMENT,Hospital Based,Cartridge-based PCR,GeneXpert,2020,3,FOR COMPLIANCE,,,,,,,,,,,,,,,,,,,,
NCR,Metro Manila,"Ma. Clara St., cor. Banawe St., Brgy. Lourdes, Quezon City",Philippine Orthopedic Center,GOVERNMENT,Hospital Based,Cartridge-based PCR,GeneXpert,"April 22, 2021",3,,,,,"Aristotle Peter T. Lee, MD",pocpathology@gmail.com,8711 4276 loc 111,"Mr. Olmedo, Ar. Rene, Ms. Fermo, Ms. Padua & Ms. Bato",,,,,,,,,,,,,
NCR,Metro Manila,"1809 Leon Guinto, Malate, Manila",One Health Medical Laboratory Inc.,PRIVATE,Non-Hospital Based,rRT PCR,,"April 23, 2021",2,,,,,"Marius Wee Sing, MD",1healthmedical@gmail.com,63933 583 9971,"Dr. Bonagua, Engr. Lui, Ms. Lentija, Ms. Litiatco, Ms. Bato & Ms. Padua",,,,,,,,,,,,,
NCR,Metro Manila ,"Quezon Avenue, corner Agham Rd, Diliman, Quezon City, 1101 Metro Manila",Philippine Children's Medical Center,DOH Retained,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,13-0186-21-H3-1,"December 21, 2020",,fdelacuestapcmc@gmail.com,(02) 8588 9900,,,,,,,,,,,,,,
Region 4B,Mindoro,Mamburao,Occidental Mindoro Provincial Hospital,LGU,Hospital Based,Cartridge-based PCR,GeneXpert,,5,NEW,02/01/21 - 12/31/21,4B-0002-21-H1-1,,Dr. Catalina De Sienna Dimayacyac,larryamita74@gmail.com,711 3020,,,,,,,,,,,,,,
Region 4B,Mindoro,Puerto Gallera,"Puerto Galera Molecular Laboratory (Formerly Best Care Medical Clinic & Diagnostic Center, Inc.)",LGU,Non-Hospital Based,Cartridge-based PCR,GeneXpert,,5,NEW,01/22/21 - 12/31/21,4B-0009-2021-CT-1,,Mr. Dennil Abucejo,pghlaboratory2014@yahoo.com,639171133878,"Dr. Aguilar, Mr. Malbacias, Ms. Toledo, Engr. Tolentino, Mr. Medina, Ms. Villanueva & Engr. Nimer",,,,,,,,,,,,,
Region 10,Misamis Occidental,"Aguada, Ozamis City",Mayor Hilarion A. Ramiro Sr. Medical Center,GOVERNMENT,Non-Hospital Based,rRT PCR,,"March 12, 2021",3,FOR COMPLIANCE,,,,"Harold T. Lee, MD, FPSP",mharsrtth@yahoo.com,(088) 521 0440/ 0022,"Dr. Hautea, Ms. Toledo, Mr. Malbacias, Ms. Padua, Ms. Bato",,,,,,,,,,,,,
Region 10,Misamis Occidental,Maningcol Ozamis City,Mayor Hilarion A. Ramiro Sr. Medical Center,GOVERNMENT,Hospital Based,Cartridge-based PCR,GeneXpert,"April 20, 2021",3,FOR COMPLIANCE,,,,"Melanio Ramir P. Beloso, MD, MPH, FPCS",mabini.hospital@yahoo.com,639507368444,"Dr. Hautea, Ms. Toledo, Mr. Malbacias, Ms. Padua & Ms. Foronda",,,,,,,,,,,,,
Region 10,Misamis Occidental,Oroquieta City,Misamis Occidental RT-PCR Laboratory,GOVERNMENT,Non-Hospital Based,rRT PCR,,"March 15, 2021",3,,,,,"Harold T. Lee, MD, FPSP",mharsrtth@yahoo.com,(088) 521 0440/ 0022,"Dr. Hautea, Ms. Toledo, Mr. Malbacias, Ms. Padua & Ms. Foronda",,,,,,,,,,,,,
Region 10,Misamis Oriental,"Hayes St., Pinikitan, Cagayan de Oro City, Misamis Oriental",Maria Reyna Xavier University Hospital Inc.,PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,10-0219-21-H3-2,,Dr. Gerard Lamayra,mariareynaxucdo@gmail.com,(08822) 725210,,,,,,,,,,,,,,
Region 10,Misamis Oriental,"Capitol Rd, Cagayan de Oro, 9000 Misamis Oriental",Northern Mindanao Medical Center,DOH Retained,Hospital Based,Cartridge-based PCR,,,5,RENEWED,01/01/21 - 12/31/21,10-0017-21-H3-1,,Dr. Jerry Abroguena,nmmcgenexpress@gmail.com,639173046334,,,,,,,,,,,,,,
Region 10,Misamis Oriental,"Capitol Rd, Cagayan de Oro, 9000 Misamis Oriental",Northern Mindanao Medical Center,GOVERNMENT,Hospital Based,rRT PCR,,,5,NEW,02/08/21 - 12/31/21,10-0017-21-H3-1,,Dr. Neal Rana,nmmc_cdo@yahoo.com,,,,,,,,,,,,,,,
Region 10,Misamis Oriental,Cagayan de Oro City,Northern Mindanao Medical Center- Satellite Covid-19 Laboratory,GOVERNMENT,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,10-0071-2021-CT-1,"January 26, 2021",Dr. Neal Rana,nmtbrc.covid@gmail.com,,,,,,,,,,,,,,,
Region 10,Misamis Oriental,Cagayan de Oro City,Philippine Red Cross - Cagayan de Oro Chapter,PRIVATE,Non-Hospital Based,rRT pCR,,,5,RENEWED,01/01/21 - 12/31/21,,,,prc.misorcdo.mollab@gmail.com,63995 277 8672,,,,,,,,,,,,,,
Region 10,Misamis Oriental,"Cagayan de Oro - Iligan Road, Highway, Cagayan de Oro, 9000 Misamis Oriental",Polymedic Medical Plaza,PRIVATE,Non-Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,10-0040-2021-CT-2,,,cdopolymedicmedicalplaza@gmail.com,(088) 858 5242,,,,,,,,,,,,,,
CAR,Mountain Province,"Abatan, Bauko",Luis Hora Memorial Regional Hospital,DOH Retained,Hospital Based,rRT PCR,,,5,NEW,02/04/21 - 12/31/21,14-0076-21-H2-1,,Dr. Christine Ayochok,lhmrh_doh@yahoo.com,639055684163,"Engr. Lui, Ms. Fermo, Ms. Bato, Ms. Casagan & Engr. Reyes",,,,,,,,,,,,,
Region 6,Negros Occidental,"Eroreco, Mandalagan,  Bacolod City",Bacolod Queen of Mercy Hospital,PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,06-0394-21-H2-2,,Dr. Jamielynn AnnF. Cruz-Nalumen,bqmhospital2018@gmail.com,(034) 431-3207,,,,,,,,,,,,,,
Region 6,Negros Occidental,"719 Quirino Avenue, corner Roxas Blvd, Malate, Manila, 1004 Metro Manila",Corazon Locsin Montelibano Memorial Regional Hospital,DOH Retained,Hospital Based,rRT pCR,,,5,RENEWED,01/01/21 - 12/31/21,06-0390-21-H3-1,,Dr. Hans Francis Ferraris,clmmrh_coh@yahoo.com/hfdf38@yahoo.com/ davidtibo.p@gmail.com,(034) 433 2697,,,,,,,,,,,,,,
