Timestamp,Email Address,Region,Province,City/ Municipality, Name of Laboratory,Type of Ownership,Type of Testing,Zoning Catchment Area (province/city/municipality) + total specimen per area per day (i.e. Rizal-50),Operating Hours per day,Operating Days,Declared turnaround time from specimen receipt to results release (in hours),Cut off time,"Actual Maximum Operational Capacity per day (# of samples than can be tested  per day-based on available machine, HR, operating hours, etc.  i.e. 1000)","Maximum number of samples that can be processed per day (based on available machine, HR, supplies, operating hours, etc. i.e. 1000)",Status of Laboratory Operational Capacity,Factors Affecting Current Operational Capacity,Number of Operational Extraction Machine ,Compatible Specimen Collection Kit to Extraction Machines,Number of Sansure SSR needed per day ,Number of VTM needed per day,Compatible DOH Procured Automated Extraction Kit to Extraction Machine,Number of Automated Extraction Kit needed per day,"Maximum Automated Extraction Output Per Day (maximum number of samples extracted per day based on available machine, HR, operating hours, etc.)","Current Automated Extraction Output per day (actual number of samples extracted per day based on available machine, HR, supplies, operating hours, etc.)",Number of Manual Extraction Kit needed per day,"Maximum Manual Extraction Output Per Day (maximum number of samples that can be extracted per day based on available machine, HR, operating hours, etc.)","Current Manual Extraction Output per day (current number of samples that can be extracted per day based on available machine, HR, supplies, operating hours, etc.)",Factors Affecting Extraction Output ,Operational PCR Machines,Number of PCR Kits needed per day,"Maximum PCR Output per day (maximum samples processed per day based on available machine, HR, operating hours, etc.)","Current PCR Output per day (current samples  processed per day based on available machine, HR, supplies, operating hours, etc.)",Type of Cartridge-based RT-PCR Machine,Type of Cartridged-based Modules,Total Operational Machine Modules (numeric value),Total number of Genexpert cartridges needed per day (numeric value),Total number of GeneXpert cartridges needed per month (numeric value),Other Requirements Prior to Acceptance of Samples,Other Laboratory Needs,Laboratory Contact Person,Contact Number (For DOH only),Specimens Collected,Preferred DOH Procured Manual Extraction Kit ,Brand of PCR Machines,Compatible DOH Procured PCR Kits to PCR Machines,Brand of RNA Extraction Machine,Testing output relative to capacity (number of samples tested/ declared maximum number of samples that can be processed) x 100 ,Positive Control Failure (No of runs in a day affected by a positive control failure),Internal Control Failure (No. of samples released with invalid result/ total number of samples tested for the day x 100),Negative Control Failure (No. of runs in a day affected by negative control failure),Declared turnaround time from specimen receipt to results release (in hours),Maximum Machine Operational Capacity [total samples per run x number of runs per day x total machines (separate RNA extraction from RT PCR machines i.e. 400; 500)],Total samples tested last week (from Mon to Sun),Total Cartridged-based samples tested per day
4/26/2021 11:55:01,lnfajardo@healthfirst.com.ph,NCR,Metro Manila,Pasig City,"Health Delivery System, Inc",Private,RT-PCR,Mandaluyong: 30-60;Muntinlupa: 10-20; Makati: 30-40 Quezon City: 20-40 Marikina: ~5-10 Pasig: ~5-10,8 hours,6 days,"8 hours, 24 hours",12nn,,100,Average/Manageable,surge,,no extraction machine,,,,,,,,100,,,1,1,100,,,,,,,,none,Lindsay Fajardo,885-1000 Loc 6452,NPS and OPS,,Bio-Rad CFX96,,,76.80%,none,none,none,24 hrs,,461,
4/26/2021 11:55:48,aageronimo@tdf.org.ph,NCR,Metro Manila,Makati City,"Tropical Disease Foundation, Inc.",Private,RT-PCR,Makati - 210,16 hours,6 days,48 hours,4 pm,,210,Average/Manageable,Manpower,1,VTM and SSR,,,,,,,,,,,1,,,,,,,,,,None,Anthony Geronimo,09338614356,NPS and OPS,,ABI 7500 Fast,,Kingfisher,,0,0,0,48,,454,
4/26/2021 11:57:58,eichel_manalaysay@yahoo.com,III,Bataan,Balanga,Bataan General Hospital Medical Center Genexpert,DOH Owned,GeneXpert,0,24 hours,7 days with holidays,1 hour,None,,30,Increase,None,,VTM,,30,,,,,,,,,,,,,Cepheid GeneXpert,Four placer,8,,600,,Cartridge ppe ,Honey Caringal,09666702352,NPS and OPS,,,,N/a,440,0,0,0,1 hour,320,132,30
4/26/2021 12:02:21,lagunamolecularlaboratory@gmail.com,IV-A,Laguna,San Pablo City,Laguna Provincial Hospital - San Pablo City District Hospital,LGU Owned,RT-PCR,"Laguna, Batangas, & Quezon - 270",12 hours,7 days with holidays,48 hours,4:00pm,,270,Increase,Increased positive cases & decreased testing capacity of RITM,No Extraction Machine,N/A,300,0,N/A,N/A,N/A,,6 packs x 48's,270,,,2,12 boxes x 24's,270,,N/A,N/A,N/A,,N/A,,Automated extraction machine,"Maria Rhea C. Barrion, RMT",09516909328,NPS and OPS,Sansure Sample Releasing Reagent,"Bio-Rad CFX96, DLAB Accurate 96",Sansure,N/A,83.33%,0,0,0,48,270,1580,N/A
4/26/2021 12:03:59,eichel_manalaysay@yahoo.com,III,Bataan ,Balanga,Honey Caringal,DOH Owned,GeneXpert,0,24 hours,7 days with holidays,1 hr,None,,30,Increase,9,,VTM,,30,,,,,,,,,,,,,Cepheid GeneXpert,Four placer,8,,600,,Cartridge ppe,Honey Caringal,09666702352,NPS and OPS,,,,,656,0,0,0,1 hr 45 minutes,320,197,30
4/26/2021 12:04:17,pcrlabrecep@fedelmundo.com.ph,NCR,METRO MANILA,QUEZON CITY,Fe Del Mundo Medical Center Molecular Diagnostic Laboratory,Private,RT-PCR,QUEZON CITY-80 MANILA CITY-40 CALOOCAN CITY-20 MANDALUYONG CITY-10 RIZAL-10 BULACAN-20 CAVITE-80 LAGUNA-5 ,8 hours,5 days with holidays,48 hours,4PM,,600,Average/Manageable,NATURAL DISASTER,1,Sansure SSR,0,200,GENOLUTION,1,384,,50,10,,,1,300,384,,N/A,N/A,1,,0,,N/A,ERICKA MANANSALA,09162674963,NPS and OPS,QIAAMP,Bio-Rad CFX96,XABT AND GENEFINDER,Genolution Nextractor 96,100,0,0,0,48,600,1740,
4/26/2021 12:15:51,bghmcmolbiolab@gmail.com,CAR,BENGUET,BAGUIO CITY,BAGUIO GENERAL HOSPITAL AND MEDICAL CENTER - MOLECULAR BIOLOGY LABORATORY,DOH Owned,RT-PCR,"PANGASINAN - 100
CAR - 1,500",24 hours,7 days with holidays,32 hours,4:00 PM,,1500,Average/Manageable,"Availability of machine (PCR Machines and Automated Extraction Machine), and availability of PCR Kits",3,"VTM, Sansure SSR, VTM and SSR",500,100,"Thermo Scientific Magmax Extraction kit, Kingfisher with consumables, MGI Easy Magnetic Beads Virus DNA/RNA Extration Kit",1500,1500,,500,500,,,3,1500,1500,,NOT APPLICABLE,NOT APPLICABLE,3,,NOT APPLICABLE,,"We need additional extraction machine, and PCR machine as an alternative of our existing machine. This is to prevent overuse of these units and to prevent future malfunctions of these units.",Ruth Ann C. Buela & Rommel C. Verganio,NOT APPLICABLE,"1 NPS only, 1 OPS only, NPS and OPS",GenAmplify TM Viral RNA Purification Kit,Bio-Rad CFX96,"BGI, A Star Fortitude Kit 2.0, Sansure","Kingfisher, Maccurra",1500,1-2,13,0,32,3,12942,NOT APPLICABLE
4/26/2021 12:15:53,onpcovidlab@gmail.com,IV-B,Palawan,City of Puerto Princesa,Ospital ng Palawan GeneXpert Laboratory,DOH Owned,GeneXpert,"Province of Palawan excluding Calamian Islands - 64
Puerto Princesa City - 64",12 hours,7 days with holidays,24 hours,15:00,,128,Average/Manageable,number of referred samples: human resource,No Extraction Machine,VTM,n/a,20,n/a,n/a,n/a,,n/a,n/a,,,1,n/a,n/a,,Cepheid GeneXpert,Sixteen placer,16,,3840,,"PPE, Disinfectants, Human Resources",Jennifer V. Rabang,09399154654,NPS and OPS,Not Applicable,n/a,n/a,n/a,39.17,n/a,n/a,n/a,24,128,351,128
4/26/2021 12:39:22,slhlab.covid19@yahoo.com,NCR,NCR,Manila,San Lazaro Hospital,DOH Owned,RT-PCR,"Caloocan-50
Malabon-50
Navotas-50
Valenzuela-50",12 hours,7 days,72 hours,none,,200,Average/Manageable,none,2,VTM and SSR,150,150,"Thermo Scientific Magmax Extraction kit, Kingfisher with consumables, MGI Easy Magnetic Beads Virus DNA/RNA Extration Kit",180 tests,200,,0,200,,,4,10,200,,not available,n/a,,,,,"PPE (small gloves, 3-ply surgical masks), kingfisher consumables",dorcas umipig,09514797228,"1 NPS only, 1 OPS only, NPS and OPS","Invitrogen Purelink TM Viral RNA/ DNA Mini Kit, GenAmplify TM Viral RNA Purification Kit","Bio-Rad CFX96, Sansure MA 6000","BGI, Sansure","Kingfisher, Sansure Natch CS",,0,0,0,72,200,1362,
4/26/2021 12:44:27,cvmc.mollab0803@gmail.com,II,Cagayan,Tuguegarao City,Cagayan Valley Medical Center Molecular Laboratory,DOH Owned,RT-PCR,1000,12 hours,7 days,72 hours,4:00pm,,1000,Increase,Aggresive Community Contact Tracing,2,VTM,,,,,,,,,,,3,,,,,,,,,,NA,Ruel Lamorena,(078) 302-000 local 200,NPS and OPS,"Invitrogen Purelink TM Viral RNA/ DNA Mini Kit, GenAmplify TM Viral RNA Purification Kit","Bio-Rad CFX96, Sansure MA 6000","BGI, A Star Fortitude Kit 2.0, Sansure","Abgenix Extraction System, Sansure Natch CS",,None,None,None,72,"Extracted 1000, RTPCR 1000",6022,
4/26/2021 12:45:35,batmcmolecularlab@gmail.com,IV-A,Batangas,Batangas City,Batangas Medical Center Molecular Diagnostics Laboratory (RT-PCR) ,DOH Owned,RT-PCR,Batangas Province-150 to 180 per day,8 hours,5 days with holidays,72 hours,12 noon,,180,Increase,Increase in the number of positive cases and contact tracing activities ,2,VTM,N/A,150-180,Maccura MagBind RNA Extraction Kit,150-180,180,,150-180,180,,,2,150-180,180,,N/A,N/A,N/A,,N/A,,ADDITIONAL VTMS WITH NPS/OPS APPLICATORS & N95 RESPIRATORS,PATRICIA MAE U. MACALALAD,091527223871,NPS and OPS,N/A,Bio-Rad CFX96,Maccura SARS-COV-2 Fluorescent Kit,Maccurra,74.89%,0,0,0,72 hours,180; 180,674,N/A
4/26/2021 12:53:52,crmccovidlab@gmail.com,XII,MAG,Cotabato City,Cotabato Regional and Medical Center,DOH Owned,RT-PCR and GeneXpert,Region 12 and BARMM-Maguindanao,16 hours,7 days with holidays,24 hours,0,,1000,Average/Manageable,manageable,3,VTM,0,200,"Thermo Scientific Magmax Extraction kit, Kingfisher with consumables",400 tests per day,576,,0,0,,,3,400 tests per day,864,,Cepheid GeneXpert,Four placer,8,,356,,0,Dr. Sherjan Kalim,09179713201,"1 NPS only, 1 OPS only, NPS and OPS",Not Applicable,Bio-Rad CFX96,"BGI, A Star Fortitude Kit 2.0","GenePure Pro, Kingfisher",78.40%,rare,0,rare,24,96x6x1= 576 Extractions; 96x3x3=864 PCR; 8x12=96 GenExpert,2526,20 per day
4/26/2021 12:57:02,cabuyaomolecular2021@gmail.com,IV-A,Laguna,Cabuyao,Laguna Holy Family Hospital Inc- Satellite Molecular Laboratory,Private,RT-PCR,"Calamba, Cabuyao, Biñan, San Pedro, Muntinlupa, Sta. Rosa, Los Baños, Las Piñas",12 hours,6 days with holidays,8 hours,12,,94,Increase,Due to increase number of patient,1,VTM,n/a,94,MGI Easy Magnetic Beads Virus DNA/RNA Extration Kit,6,96,,n/a,n/a,,,1,1,96,,n/a,n/a,1,,0,,Magnetic beads magnet for the extraction kit,Crystal Gem Ledang,09569765269,NPS and OPS,Maccura,Bioer Quant Gene 9600,Maccura,Maccurra,495.74,None,None,None,8,96,466,0
4/26/2021 13:12:31,bmcmolecularlab@yahoo.com,III,Bulacan,Malolos,Bulacan Medical Center- RT-PCR,LGU Owned,RT-PCR,"Bulacan/Sta Maria-30
Bulacan/ Bulakan- 30
Bulacan/ Hagonoy-20
",12 hours,7 days with holidays,48 hours,5pm,,200,Increase,Manpower,1,VTM,,150,,1 box,96,,96,96,,,1,3 kits,288,,,,,,,,"Pipettors, micentrifuge, filtered tips (100ul to 1000ul), N95 mask",Michaella B Sayo,09228449113,NPS and OPS,,Roche Lightcycler 480 II,,Roche MagnaPure,2000,N/a,N/a,N/a,48,200,672,
4/26/2021 13:27:35,mmtobias@themedicalcity.com,NCR,Rizal,Pasig City,laboratory@themedicalcity.com,Private,RT-PCR and GeneXpert,Pasig - 250,16 hours,7 days with holidays,16 hours,"4am, 1pm and 3pm",,500,Increase,Patient influx,2,VTM,12,300,None,10,500,,1 Qiagen 250 viral rna ,500,,,3,12,500,,Cepheid GeneXpert,Four placer,2,,30,,PPE's,Dr. ROSE LOU AGBAY/MA. LUISA TOBIAS,8 988 1000 local 6125,NPS and OPS,"Qiagen viral rna, hi pure roche",Bio-Rad CFX96,Sansure,GeneFinder Ex-mate 32,2x100 = 200,0,0,0,12-16 hours,500,1553,1
4/26/2021 13:30:16,parkwaybaguio@gmail.com,CAR,BENGUET,BAGUIO,PARKWAY MEDICAL AND DIAGNOSTIC CENTER,Private,RT-PCR,CAR-200 ;PANGASINAN-100; LA UNION-100,12 hours,7 days,24 hours,05:00 PM,,500,Average/Manageable,NONE,2,VTM and SSR,500,500,NONE,500,500,,500,500,,,2,500,500,,,,,,,,NONE,DAVE TACLOBAO,09155933841,NPS and OPS,Not Applicable,"Bioer Quant Gene 9600, Sansure MA 6000","BGI, Sansure",BIOER Magabio Virus DNA/RNA Extraction Kit,500,0-1,0-1,0-1,24,500,1583,
4/26/2021 13:41:42,pjlsantos@cldh.com.ph,III,Tarlac,Tarlac,Central Luzon Doctors’ Hospital,Private,GeneXpert,Tarlac 40,8 hours,7 days,24 hours,2pm,,40,Decrease,availability of kits,,VTM,,,,,,,,,,,,,,,Cepheid GeneXpert,"Two placer, Four placer",5,,1200,,cartridge,precious santos,09175539321,NPS and OPS,,,,,400,0,0,0,24hrs,40,83,40
4/26/2021 13:44:04,bghmcpcrlab@gmail.com,III,BATAAN,BALANGA CITY,BGHMC RT PCR LAB,DOH Owned,RT-PCR,BATAAN- 500; NUEVA ECIJA- 70,12 hours,7 days,48 hours,5PM,,1000,Average/Manageable,N/A,2,VTM,N/A,500,N/A,16 (Magabio 32T/kit),32,,N/A,N/A,,,4,3 KITS ( A STAR FORTITUDE),1000,,N/A,N/A,N/A,,N/A,,N/A,RIZALIE MALINAO,09179357429,NPS and OPS,N/A,Bio-Rad CFX96,A Star Fortitude Kit 2.0,BIOER Magabio Virus DNA/RNA Extraction Kit,50,N/A,N/A,N/A,48 - 72 HRS,700;700,2917,N/A
4/26/2021 14:05:19,sharyll.gonzales@gmail.com,X,Misamis Oriental,Cagayan de Oro City ,Philippine Red Cross-Cagayan de Oro Molecular Laboratory,Private,RT-PCR,"Iligan-301
Bukidnon-255
Gingoog-7
Davao de Oro-31
Digos-51
Tagum-32
Oroquieta-12
Ozamiz-9
Kidapawan-12
Cotabato-5
Sultan Kudarat-1
Gensan-7",24 hours,7 days with holidays,48 hours,N/A,,2000,Average/Manageable,Presence of other Covid  Molecular Laboratories both public and private,1,Sansure SSR,200,N/A,N/A,,,,N/A,N/A,,,2,Nucleic Acid Diagnostic Test(48T)-5 kits,200,,N/A,N/A,2,,N/A,,N/A,Arabella Radaza, N/A,NPS and OPS,Not Applicable,Sansure MA 6000,Sansure,Sansure Natch CS,2000,N/A,N/A,N/A,48 hours,2000,1595,N/A
4/26/2021 14:12:54,pcalab2020@yahoo.com,VII,Cebu,Cebu,Prime Care Alpha Covid 19 Testing Laboratory ,Private,RT-PCR,2000,24 hours,7 days with holidays,24 hours,6pm,,2000,Decrease,Government regulations on travel,5,VTM and SSR,25,100,,2,100,,1,10,,,2,2,2000,,,,,,,,None,Cherry Faye Dagatan,09081153848,NPS and OPS,,Roche Lightcycler 480 II,,"BIOER Magabio Virus DNA/RNA Extraction Kit, Roche MagnaPure",35,0,0-1,0,24,2000,700,
4/26/2021 14:24:05,molecularlab@drmc.doh.gov.ph,XI,Davao del Norte,Tagum City,Davao Regional Medical Center - RT PCR Laboratory,DOH Owned,RT-PCR,Davao del Norte - 70; Davao Oriental - 40 ,12 hours,7 days with holidays,72 hours,2PM,,181,Increase,1 PCR machine is being used. The other PCR machine available needs a laptop for it to be use. ,2,VTM and SSR,N/A,150,Magabio DNA/RNA extraction kit,91,181,,50,50,,,2,100,91,,,,,,,,"PPE (sterile lab gown, gloves, N95 mask), 70% isopropyl alcohol",Aaron Nathaniel D. Lindo,09176303430,NPS and OPS,XABT Nucleic Extraction Kit,Bio-Rad CFX96,"BGI, A Star Fortitude Kit 2.0, Sansure",BIOER Magabio Virus DNA/RNA Extraction Kit,60.61%,0,8%,2%,72,181,558,
4/26/2021 14:25:43,vmmc.moleclab@gmail.com,NCR,NCR,Quezon City,"Google Forms Salamat sa pagsagot sa COVID-19 Lab Machine, HR, & Ops Narito ang mga nakuha namin mula sa iyo: I-edit ang tugon COVID-19 Lab Machine, HR, & Ops Good day! The Department of Health is requesting all DOH-Licensed COVID-19 Testing Laboratories to submit their laboratory operational details to determine the testing capacities of all laboratories in the COVID-19 Laboratory Network.   INSTRUCTIONS: Kindly fill up the form every Monday and as needed, if there are CHANGES in the previously submitted form. In accomplishing this form, may we request that your laboratory's official e-mail address will be the e-mail provided below. Thank you very much!  Email address * vmmc.moleclab@gmail.com P1. Laboratory Name *",Other Government Agency,RT-PCR,n/a,8 hours,7 days with holidays,48 hours,7am,,80,Average/Manageable,n/a,1,VTM and SSR,100,100,n/a,1,80,,0,0,,,1,2,80,,,,,,,,N/A,"JOSELITO QUINES, MD",09277978981,NPS and OPS,GenAmplify TM Viral RNA Purification Kit,Bio-Rad CFX96,Sansure,Qiagen Qiacube,100%,1,0,0,48,80 x 1 run  x 1 machine = 80,346,
4/26/2021 14:32:54,csmcmolelab@gmail.com,NCR,METRO MANILA,SAN JUAN,CARDINAL SANTOS MEDICAL CENTER,Private,RT-PCR,180-200,12 hours,7 days with holidays,48 hours,12 noon,,300-400,Average/Manageable,NONE,1,VTM,,200-250,Nextractor  genolution 48S,3,200-300,,1,10-15,,,1,2-3,200-250,,,,,,,,none,MARIA CRISELDA DEL ROSARIO,09278721387,NPS and OPS,XABT Nucleic Extraction Kit,Roche Light Cycler 480 II,SD BIOSENSOR,Genolution Nextractor 48,50,NONE,none,none,24-48,200,1386,
4/26/2021 14:36:23,spcmc.molecularlab@gmail.com,IV-A,LAGUNA,SAN PABLO CITY,SAN PABLO COLLEGES MEDICAL CENTER,Private,RT-PCR,N/a,8 hours,6 days,48 hours,12NN,,200,Decrease,N/a,1,VTM,N/a,100,N/a,1 box,200,,1box,200,,,1,2,4,,N/a,N/a,N/a,,N/a,,GLOVES,RICHARD E. TEMPLO,09152671492,NPS and OPS,N/a,Roche Light Cycler 480 II,N/a,Roche MagnaPure,"20,000",N/a,N/a,N/a,48 hours,4 hours / 90 samples,533,N/a
4/26/2021 14:36:32,mbl.ddoph@gmail.com,XI,Davao de Oro (Compostela Valley),Montevista,Davao de Oro Provincial Hospital - Montevista Molecular Laboratory,LGU Owned,RT-PCR,"Montevista-30
Nabunturan-40
Pantukan-20
Laak-10
Maragusan-20
Monkayo-10
Maco-10
Mabini-10
New Bataan-10
Compostela-15",8 hours,5 days,48 hours,2pm,,180 samples,Average/Manageable,Laboratory Supplies (Consumables) and PPE for analysts,1,VTM and SSR,180,180,"Thermo Scientific Magmax Extraction kit, MGI Easy Magnetic Beads Virus DNA/RNA Extration Kit",12 KITS,192,,4 KITS,192 SAMPLES,,,1,1 KIT,180 samples,,NONE,NONE,NONE,,NONE,,"-Additional Biosafety Cabinet for Extraction
-Autoclave
-Alcohol (70%)
-PPE","Anna Jessa T. Carnicer, RMT",09062713488,NPS and OPS,"XABT Nucleic Extraction Kit, Thermofisher Genejet Viral DNA/RNA Purification Kit, Invitrogen Purelink TM Viral RNA/ DNA Mini Kit, GenAmplify TM Viral RNA Purification Kit",ABI Quantstudio,"BGI, A Star Fortitude Kit 2.0","BIOER Magabio Virus DNA/RNA Extraction Kit, GenePure Pro",50,0,4.44,0,48 HOURS,192 ; 180,"244 SAMPLES (April 19-23, 2021)",NONE
4/26/2021 14:44:38,avdellova@dlsmc.ph,NCR,Other,Quezon City,DE LOS SANTOS MEDICAL CENTER,Private,RT-PCR,QUEZON CITY - 1548,16 hours,7 days with holidays,24 hours,5:00 PM,,500,Average/Manageable,OUT PATIENT,No Extraction Machine,NONE,8-10,200-300,,,,,,200-300,,,1,200-300,400,,,,,,,,VTM'S,Annabell Dellova,09190783954,NPS and OPS,,Bio-Rad CFX96,Sansure,NONE,"2,569",NONE,NONE,NONE,24 HOURS,200-300,"1,548",
4/26/2021 14:46:48,r1mcxpertlab@gmail.com,I,Pangasinan,Dagupan City,Region 1 Medical Center,DOH Owned,RT-PCR and GeneXpert,Pangasinan-200,12 hours,7 days with holidays,2 hours for Genexpert / 72 hours for RT-PCR,6 PM,,270,Average/Manageable,N/A,1,VTM and SSR,4,144,Sansure Natch CS,2,270,,N/A,N/A,,,1,1,270,,Cepheid GeneXpert,Sixteen placer,1,,1440,,"Paper Towel, Gloves, UTM/VTM",Edgardo B. Suratos,0995 556 3167 ,NPS and OPS,Not Applicable,Sansure MA 6000,Sansure,Sansure Natch CS,57.51,None,None,None,2 hours for Genexpert / 72 hours for RT-PCR,270,1087,48
4/26/2021 14:52:19,dmmcpcrlab2@gmail.com,IV-A,BATANGAS,TANAUAN CITY,DANIEL O. MERCADO MEDICAL CENTER,Private,RT-PCR,"BATANGAS-70, NCR-20, LAGUNA-10",16 hours,6 days with holidays,"24 hours, 48 hours",11AM & 5PM,,192,Average/Manageable,"SHIFTING SCHEDULE, MANPOWER, TESTING CENSUS",2,Sansure SSR,100,N/A,N/A,4,192,,N/A,N/A,,,2,4,192,,N/A,N/A,N/A,,N/A,,N/A,OLIVER R. LUBIANO,043-406-9884,NPS and OPS,Not Applicable,"Bio-Rad CFX96, Sansure MA 6000",Sansure,"Sansure Natch CS, Panagene Panamax 48",52%,0,0,0,24-48,192,603,N/A
4/26/2021 14:54:21,molecularlab@phc.gov.ph,NCR,N/A,QUEZON CITY,PHILIPPINE HEART CENTER,GOCC,GeneXpert,N/A,16 hours,7 days with holidays,3-4 HRS,8:00PM (SUNDAY 3:00PM CUT-OFF),,100,Average/Manageable,N/A,No Extraction Machine,VTM,,,,,,,,,,,,,,,Cepheid GeneXpert,Four placer,8,,,,N/A,ARJAY ABICHUELA,09175692024,NPS and OPS,,,,N/A,100,N/A,N/A,N/A,2HRS,100,267,100
4/26/2021 14:54:29,gramanmolecularlab@gmail.com,III,Bulacan,Malolos City,Graman Molecular Diagnostic Laboratory,Private,RT-PCR,"Bulacan- 170
Pampanga- 10
NCR- 20",24 hours,7 days,24 hours,8pm,,400,Increase,High positivity rate,2,VTM,,300-400,,2,432,,,,,,1,2,,,,,,,,,PPE,Robert Sayo,Robert Sayo,NPS and OPS,,Bioer Quant Gene 9600,,BIOER Magabio Virus DNA/RNA Extraction Kit,400,None,None,None,24,Extraction - 432   PCR - 384,1552,
4/26/2021 15:00:59,aghmolecularlaboratory@gmail.com,NCR,METRO MANILA,TAGUIG CITY,ARMY GENERAL HOSPITAL MOLECULAR LABORATORY,Other Government Agency,RT-PCR,TAGUIG-90,8 hours,6 days,48 hours,1700H,,90,Increase,"INCREASE NO. OF TOTAL POSITIVE, THEREFORE INCREASE NO. OF CONTACT TRACED INDIVIDUALS ",No Extraction Machine,VTM,0,90,MGI Easy Magnetic Beads Virus DNA/RNA Extration Kit,0,0,,2,90,,,1,2,90,,0,0,0,,0,,HAZARD PAY,Almira Mendoza,09452332838,NPS and OPS,Thermofisher Genejet Viral DNA/RNA Purification Kit,Bio-Rad CFX96,BGI,,9000,0,3.33,0,48 HRS,0;110,552,0
4/26/2021 15:05:29,jcdr0621@gmail.com,NCR,Metro Manila,Quezon City,Jeffrey DELA ROSA,DOH Owned,RT-PCR,R4A/4B - 91 samples max,16 hours,7 days with holidays,24-48 hrs,10am,,384,Average/Manageable,Increased in Covid-19 RT-PCR reqests,1,Sansure SSR,232,None,Sansure,35 kits (48 preps/kit) ,384 max,,Depends if the number of samples fails to maximize Natch CS (50),Depends if the number of samples fails to maximize Natch CS (50),,,1,35 kits,384,,N/A,N/A,N/A,,N/A,,"NATCH CS Extraction MACHINE, PCR COOLING BLOCK",Jeffrey DELA ROSA,+639178464636,"1 NPS only, 1 OPS only, NPS and OPS",Sansure,Sansure MA 6000,Sansure,Sansure Natch CS,60.45,None,0.31,None,24-48hrs,384; 384,1625,N/A
4/26/2021 16:10:49,dlesliza@dlshsi.edu.ph,IV-A,CAVITE,DASMARIÑAS,CAVITE- DE LA SALLE COVID-19 DIAGNOSTIC CENTER,Private,RT-PCR,Cavite 600 to 800,12 hours,6 days with holidays,48 hours,12 Noon,,1000,Increase,Limited source of Reagent,2,"Sansure SSR, Magabio, Gen Ampli Beadamax",12 vials,600 to 700,Sansure SSR,6 Boxes of Magabio; 12 vials of Sansure SSR,920,,N/A,N/A,,,5,5,12 PCR kits,,N/A,N/A,N/A,,N/A,,N/A,Dexter Bryan L. Esliza,(046)437 2296,"1 NPS only, 1 OPS only, NPS and OPS",Sansure,"ABI Quantstudio, Sansure MA 6000",Sansure,"BIOER Magabio Virus DNA/RNA Extraction Kit, Sansure Natch CS, Panagene Panamax 48",73.6 to 92,None,None,None,48,736 to 920,4058,N/A
4/26/2021 16:14:01,rrchard.mergal@gmail.com,III,Pampanga,"City of San Fernando, Pampanga",Greencity Medical Center,Private,RT-PCR,300,12 hours,7 days with holidays,"24 hours, 48 hours",7:00 PM,,600,Average/Manageable,PCR machine,2,VTM,n/a,400,Abgenix,10,385,,n/a,n/a,,,1,3-4 kits (96 test per kit),406,,,,,,,,VTM with deactivatimg agents and qPCR strips,Richard Ryan Mergal,09190741227,NPS and OPS,BGI,AIT Biotech Abcycler Q,BGI,"Abgenix Extraction System, Zybio EXM 300 ",50%,n/a,2.46%,0.54%,18,2014,1869,
4/26/2021 16:20:18,aileenanne.abacan@makatimed.net.ph,NCR,N/A,Makati City,MAKATI MEDICAL CENTER,Private,RT-PCR,400,24 hours,7 days with holidays,48 hours,n/a,,700,Average/Manageable,none,2,VTM,n/a,400,0,500,700,,n/a,n/a,,,2,700,700,,n/a,n/a,n/a,,n/a,,n/a,AILEEN ANNE ABACAN,09988679844,"NPS and OPS, ETA, BAL",Not Applicable,"ABI 7500 Fast, Bio-Rad CFX96",Sansure,"Qiagen Qiacube, Roche MagnaPure",71%,0,0,0,48,600; 700,2493,n/a
4/26/2021 16:22:57,kairosmolecularlab@gmail.com,NCR,Manila,Quezon City,Kairos Diagnostic Laboratory ,Private,RT-PCR,QC-300,16 hours,7 days,"24 hours, 48 hours",6pm,,700,Average/Manageable,Limited manpower ,1,VTM and SSR,200,300,MGI Easy Magnetic Beads Virus DNA/RNA Extration Kit,1,150,,1,10-20,,,2,350,300,,,,,,,,Additional Manpower ,Christine Joy Feliciano,09154223689,NPS and OPS,XABT Nucleic Extraction Kit,"Sansure MA 6000, Quant Studio 5 by thermofisher",Sansure,Genefine extraction machine,85.7,0,4.8,0,24 - 36hrs,300:600,2068,
4/26/2021 17:09:22,mc-molecular@wvsu.edu.ph,VI,Iloilo,Iloilo City,West Visayas State University Medical Center - Molecular Diagnostic Laboratory,GOCC,RT-PCR,Province of Iloilo - 50,8 hours,5 days with holidays,8 hours,9:00 AM,,90,Average/Manageable,"Samples accepted are limited to the healthcare workers, Emergency Room, Admitted and Outpatient clients of the medical center",1,"VTM, UTM",0,90,Thermo Scientific Magmax Extraction kit,1,90,,1,50,,,1,4,50,,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,,"Manpower, PCR Kits, Extraction Kits (Manual and Automated), Filtered tips (1000ul, 200ul, 10ul), PPE, N95 mask","Anna Victoria J. Sombong, MD, FPSP",Not Applicable,NPS and OPS,GenAmplify TM Viral RNA Purification Kit,Bio-Rad CFX96,BGI,Kingfisher,55.56,0,0,0,8,90; 180,188,Not Applicable
